RAMAL DE MOTOR -> 7 | tipos: INSUMOS,REPUESTOS
ALTERNADOR -> 7 | tipos: REPUESTOS
COMBO HINO -> 7 | tipos: REPUESTOS
VALVULA (LEVAS) -> 7 | tipos: REPUESTOS,INSUMOS
TANQUE RESERVA AGUA (Y TAPA) -> 7 | tipos: REPUESTOS
CONCENTRADOR -> 7 | tipos: REPUESTOS
CONDENSADOR -> 7 | tipos: REPUESTOS
AIRE ACONDICIONADO -> 7 | tipos: REPUESTOS,INSUMOS
ACEITE GASOLINERO 1/ -> 6 | tipos: REPUESTOS
VARIOS SUSP -> 6 | tipos: INSUMOS,REPUESTOS
CABLE DE BUJIA -> 6 | tipos: REPUESTOS
CARTER MOTOR -> 6 | tipos: REPUESTOS
MOLDURA (POST YARIS) -> 6 | tipos: REPUESTOS
BRIDA AGUA -> 6 | tipos: REPUESTOS
COMPUTADORAS -> 6 | tipos: REPUESTOS
CHASIS FRENO -> 6 | tipos: REPUESTOS,INSUMOS
REPUESTOS ESPECIALES -> 5 | tipos: ACCESORIOS
TEMPLADORES Y POLEAS -> 5 | tipos: REPUESTOS
VOLANTE -> 5 | tipos: REPUESTOS
CRUCETA DE CARDAN -> 5 | tipos: REPUESTOS
PISTONES -> 5 | tipos: REPUESTOS
CHASIS SUSPENSION Y FRENO -> 5 | tipos: REPUESTOS
BOTON CLAXON (CON AI -> 5 | tipos: REPUESTOS
ACEITE DIFERENCIAL -> 4 | tipos: REPUESTOS
LLAVES -> 4 | tipos: INSUMOS,REPUESTOS
BOMBA DE SERVO DIREC -> 4 | tipos: REPUESTOS
TAPA DE ACEITE -> 4 | tipos: REPUESTOS
TAPA BALANCINES/DISTRIBUIDOR -> 4 | tipos: REPUESTOS
LIMPIA INYECTOR -> 4 | tipos: REPUESTOS
BALDES DE HINO -> 4 | tipos: REPUESTOS
BOMBA DE FRENO Y ACC -> 4 | tipos: REPUESTOS
CAUTIVO DIFERENCIAL -> 4 | tipos: REPUESTOS
ARO -> 4 | tipos: REPUESTOS
CHASIS SUSPENSION -> 4 | tipos: REPUESTOS,INSUMOS
PAQUETE DE MUELLES -> 4 | tipos: REPUESTOS
SOPORTE RADIADOR -> 4 | tipos: REPUESTOS
ACEITE PETROLERO 1/4 -> 3 | tipos: REPUESTOS
KIT SECADOR -> 3 | tipos: INSUMOS
BOTON CLAXON (CON AIRBAG) -> 3 | tipos: REPUESTOS
KIT DE EMPAQUES (RUEDA) -> 3 | tipos: REPUESTOS
PLATINO -> 3 | tipos: REPUESTOS
JEBE DE PEDAL -> 3 | tipos: REPUESTOS
EJE DE PALIER -> 3 | tipos: REPUESTOS
CAJA DE TIMON MECANI -> 3 | tipos: REPUESTOS
MICAS -> 3 | tipos: REPUESTOS
ACEITE TRANSFERENCIA -> 2 | tipos: REPUESTOS
CILINDRO ACEITE PETROLEO -> 2 | tipos: REPUESTOS
INYECTORES -> 2 | tipos: REPUESTOS
CAJA AUTOMATICA -> 2 | tipos: REPUESTOS
TRANSMISION MECANICA -> 2 | tipos: REPUESTOS
VALVULA DE AIRE -> 2 | tipos: INSUMOS
CILINDRO ACEITE GASOLINERO -> 2 | tipos: REPUESTOS
CAUTIVOS EMBRAGUE -> 2 | tipos: REPUESTOS
INTERCOOLER -> 2 | tipos: REPUESTOS
TAPA MALETERA -> 2 | tipos: REPUESTOS
GALON GASOLINERO 10W -> 1 | tipos: SUMINISTROS
BALANCINES Y EJE DE BALANCINES -> 1 | tipos: REPUESTOS
JGO. GRILLETES DE MUELLE -> 1 | tipos: REPUESTOS
ANTICONGELANTE -> 1 | tipos: REPUESTOS
CULATAS -> 1 | tipos: REPUESTOS
PRE-CAMARA -> 1 | tipos: REPUESTOS
SEMIARMADOS -> 1 | tipos: REPUESTOS
MONTAJE CILINDRO DE FRENO -> 1 | tipos: INSUMOS
ENGRANAJE+PI -> 1 | tipos: REPUESTOS
ALZAVALVULA -> 1 | tipos: REPUESTOS
COLADOR ACEITE -> 1 | tipos: REPUESTOS
VARILLA MEDIDOR -> 1 | tipos: REPUESTOS
CONJ PURIFICADOR -> 1 | tipos: REPUESTOS
TURBO -> 1 | tipos: REPUESTOS
COMMON RAIL -> 1 | tipos: REPUESTOS
CUBIERTA DE EMBRAGUE -> 1 | tipos: REPUESTOS
CAJA DE TRANSFERENCI -> 1 | tipos: REPUESTOS
TECHO -> 1 | tipos: REPUESTOS
COMPONENTES HIBRIDOS -> 1 | tipos: REPUESTOS
VARILLA -> 1 | tipos: REPUESTOS
MANUALES/CATALOGOS -> 1 | tipos: ACCESORIOS
CRUCETA -> 1 | tipos: REPUESTOS
